S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
1,New York,Men,Never Married,Early Working,Secondary,Marketing and Sales Executive,2,US$ 2736 to US$ 8205,Don't Want to Reveal,Television,7,9,4,Family Reference,Less Than 1 Year,Low,Negative Return,Tax
2,New York,Women,Married,Early Working,Middle,Advertising and Promotion Executive,2,US$ 19146 to US$ 24615,Don't Want to Reveal,Workers,7,5,2,Workers Reference,Less Than 1 Year,Low,10 to 12 ,Others
3,Seattle,Women,Married,Early Working,Teritary,Training and Development Executive,2,US$ 2736 to US$ 8205,Above 26%,Family,4,3,2,Friends Reference,Above 9 Years,Low,1 to 4,Return
4,San Francisco,Men,Never Married,Elderly,Uneducated,Training and Development Executive,5,US$ 19146 to US$ 24615,16% to 20%,Family,5,1,3,Friends Reference,7 Years to 9 Years,Low,10 to 12 ,Tax
5,San Francisco,Men,Married,Prime Working,Primary,Computer and Information System Executive,2,US$ 13676 to US$ 19145,16% to 20%,Workers,6,10,5,Family Reference,Above 9 Years,Low,5 to 6,Fun and Exitement
6,Memphis,Women,Never Married,Prime Working,Primary,Marketing and Sales Executive,5,US$ 19146 to US$ 24615,21% to 25%,Magazine,3,9,1,Institutions,Less Than 1 Year,High,Negative Return,Status
7,Seattle,Women,Never Married,Prime Working,Teritary,Training and Development Executive,5,US$ 19146 to US$ 24615,Upto 5%,Magazine,6,4,4,Others,1 Year to 3 Years,Low,Negative Return,Others
8,Houston,Women,Never Married,Mature Working,Middle,Top Executives,3,Above US$ 30086,11% to 15%,Others,4,4,4,Family Reference,4 Years to 6 Years,Low,1 to 4,Others
9,San Francisco,Women,Never Married,Elderly,Middle,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,21% to 25%,Magazine,3,2,3,Others,4 Years to 6 Years,Medium,Negative Return,Fun and Exitement
10,San Francisco,Men,Married,Children,Secondary,Top Executives,1,US$ 13676 to US$ 19145,6% to 10%,Flash Board,2,4,3,Family Reference,4 Years to 6 Years,High,10 to 12 ,Inflation
11,San Francisco,Men,Married,Prime Working,Secondary,Training and Development Executive,5,US$ 19146 to US$ 24615,Upto 5%,Others,2,10,5,Friends Reference,4 Years to 6 Years,Medium,10 to 12 ,Tax
12,New York,Men,Married,Early Working,Middle,Marketing and Sales Executive,4,US$ 2735,21% to 25%,Workers,4,7,2,Workers Reference,Above 9 Years,Medium,Negative Return,Tax
13,New York,Men,Married,Early Working,Teritary,Advertising and Promotion Executive,4,US$ 2735,21% to 25%,Flash Board,10,4,6,Institutions,Less Than 1 Year,High,Negative Return,Status
14,Seattle,Men,Never Married,Elderly,Secondary,Advertising and Promotion Executive,4,Above US$ 30086,11% to 15%,Others,7,10,3,Institutions,1 Year to 3 Years,Low,5 to 6,Status
15,Seattle,Men,Never Married,Children,Middle,Computer and Information System Executive,2,US$ 24616 to US$ 30085,21% to 25%,Workers,7,1,6,Family Reference,4 Years to 6 Years,Low,7 to 9,Tax
16,San Francisco,Men,Never Married,Elderly,Teritary,Marketing and Sales Executive,1,US$ 24616 to US$ 30085,11% to 15%,Friends,5,6,1,Workers Reference,4 Years to 6 Years,Medium,5 to 6,Fun and Exitement
17,New York,Men,Never Married,Elderly,Uneducated,Marketing and Sales Executive,3,US$ 13676 to US$ 19145,11% to 15%,Workers,5,5,2,Institutions,Above 9 Years,Medium,Negative Return,Status
18,Memphis,Men,Never Married,Early Working,Middle,Marketing and Sales Executive,4,US$ 8206 to US$ 13675,Upto 5%,Television,3,3,3,Workers Reference,1 Year to 3 Years,Medium,10 to 12 ,Tax
19,San Francisco,Men,Married,Children,Secondary,Top Executives,2,US$ 19146 to US$ 24615,21% to 25%,Family,10,2,5,Social Media,Above 9 Years,Medium,10 to 12 ,Fun and Exitement
20,Houston,Women,Married,Elderly,Primary,Marketing and Sales Executive,5,US$ 8206 to US$ 13675,21% to 25%,Others,6,6,2,Others,Less Than 1 Year,Low,7 to 9,Others
21,Houston,Women,Married,Mature Working,Teritary,Marketing and Sales Executive,4,US$ 2736 to US$ 8205,Above 26%,Family,3,4,5,Family Reference,4 Years to 6 Years,High,Negative Return,Tax
